city,district,neighbourhood,room,living_room,size,age,floor,price
İzmir , Torbalı , İnönü Mah.,2,1,110,5,2,2650000
İzmir , Buca , Dumlupınar Mah.,3,1,135,25,2,4500000
İzmir , Karabağlar , Bahçelievler Mah.,2,1,90,21,1,2750000
İzmir , Seferihisar , Çolak İbrahim Bey Mah.,3,1,132,0,1,7150000
İzmir , Çiğli , Ataşehir Mah.,2,1,92,21,5,4200000
İzmir , Çiğli , Balatçık Mah.,3,1,132,0,5,9500000
İzmir , Torbalı , Torbalı Mah.,3,1,145,5,6,2800000
İzmir , Bornova , Kazımdirik Mah.,3,1,120,37,7,4250000
İzmir , Karabağlar , Arap Hasan Mah.,2,1,100,31,2,4000000
İzmir , Karabağlar , Esenyalı Mah.,3,1,150,32,3,6900000
İzmir , Buca , Kuruçeşme Mah.,1,1,55,5,4,2395000
İzmir , Buca , Atatürk Mah.,1,1,55,5,2,2395000
İzmir , Buca , Yıldız Mah.,1,1,60,4,0,1995000
İzmir , Buca , Akıncılar Mah.,3,1,145,11,1,4500000
İzmir , Buca , Dicle Mah.,4,1,250,4,1,4800000
İzmir , Buca , Mustafa Kemal Mah.,3,1,140,21,6,3150000
İzmir , Balçova , Fevzi Çakmak Mah.,3,1,130,31,3,3950000
İzmir , Buca , Vali Rahmi Bey Mah.,2,1,90,4,1,4800000
İzmir , Buca , İnkılap Mah.,2,1,95,11,4,3800000
İzmir , Foça , Cumhuriyet Mah.,3,1,130,2,0,9100000
İzmir , Karşıyaka , Şemikler Mah.,1,1,65,3,2,3350000
İzmir , Menemen , Gazi Mustafa Kemal Mah.,2,1,60,5,3,2450000
İzmir , Buca , Adatepe Mah.,2,1,84,5,2,3000000
İzmir , Menemen , 85. Yıl Cumhuriyet Mah.,2,1,90,0,4,3150000
İzmir , Buca , Atatürk Mah.,1,1,58,2,3,1150000
İzmir , Menderes , Çile Mah.,2,1,425,3,0,1944000
İzmir , Seferihisar , Hıdırlık Mah.,1,1,55,0,2,2270000
İzmir , Menemen , 85. Yıl Cumhuriyet Mah.,1,1,55,0,1,2300000
İzmir , Karabağlar , Sevgi Mah.,2,1,85,4,4,2850000
İzmir , Buca , Kuruçeşme Mah.,1,1,59,1,3,1285000
İzmir , Seferihisar , Mersin Alanı Mah.,4,1,140,4,0,8250000
İzmir , Seferihisar , Bengiler Mah.,2,1,120,8,2,4550000
İzmir , Seferihisar , Cumhuriyet Mah.,4,1,130,0,0,9000000
İzmir , Torbalı , Yedi Eylül Mah.,2,1,100,7,5,2795000
İzmir , Seferihisar , Bengiler Mah.,2,1,85,6,3,4250000
İzmir , Buca , Yıldız Mah.,3,1,125,25,5,4750000
İzmir , Foça , Kazım Dirik Mah.,2,1,83,0,2,3500000
İzmir , Seferihisar , Cumhuriyet Mah.,3,1,160,0,0,7000000
İzmir , Torbalı , Ayrancılar Mah.,3,1,135,0,1,4750000
İzmir , Karşıyaka , Aksoy Mah.,2,1,100,0,1,6250000
İzmir , Buca , Yiğitler Mah.,2,1,95,16,2,2750000
İzmir , Karabağlar , Basın Sitesi Mah.,3,1,160,31,1,5750000
İzmir , Bergama , Zeytindağ Mah.,3,1,140,40,0,3750000
İzmir , Konak , Güzelyalı Mah.,2,1,80,31,1,2500000
İzmir , Konak , Güzelyalı Mah.,3,1,130,31,2,4750000
İzmir , Karabağlar , Muammer Akar Mah.,2,1,90,31,1,2500000
İzmir , Karabağlar , Muammer Akar Mah.,3,1,120,21,3,4350000
İzmir , Menderes , Orta Mah.,3,1,220,17,6,6500000
İzmir , Menderes , Orta Mah.,3,1,120,25,0,6000000
İzmir , Karabağlar , Basın Sitesi Mah.,3,1,125,38,2,5100000
İzmir , Dikili , İsmetpaşa Mah.,2,1,85,0,3,3200000
İzmir , Konak , Murat Reis Mah.,3,1,110,31,-1,3150000
İzmir , Buca , Yenigün Mah.,3,1,145,24,3,3380000
İzmir , Menderes , Orta Mah.,3,1,130,25,0,5950000
İzmir , Konak , Çankaya Mah.,3,1,130,31,4,3950000
İzmir , Seferihisar , Mersin Alanı Mah.,2,1,90,10,1,4000000
İzmir , Ödemiş , Kuvvetli Mah.,4,1,150,20,1,2650000
İzmir , Menemen , 85. Yıl Cumhuriyet Mah.,2,1,90,0,1,2650000
İzmir , Menemen , İnönü Mah.,3,1,85,6,0,3250000
İzmir , Karabağlar , Esenlik Mah.,2,1,100,35,5,1990000
İzmir , Foça , Mustafa Kemal Atatürk Mah.,2,1,110,10,2,6300000
İzmir , Buca , Hürriyet Mah.,2,1,100,7,4,3150000
İzmir , Konak , Barbaros Mah.,2,1,70,0,1,3250000
İzmir , Karabağlar , Gülyaka Mah.,3,1,150,11,1,3500000
İzmir , Balçova , Çetin Emeç Mah.,1,1,55,0,2,3900000
İzmir , Balçova , Çetin Emeç Mah.,1,1,55,0,2,3900000
İzmir , Karabağlar , Kazım Karabekir Mah.,2,1,105,26,1,2300000
İzmir , Karabağlar , Yunus Emre Mah.,3,1,135,0,5,6600000
İzmir , Karabağlar , Kazım Karabekir Mah.,3,1,130,21,3,2950000
İzmir , Çiğli , Aydınlıkevler Mah.,3,1,140,26,3,4250000
İzmir , Menemen , Tülbentli Mah.,3,1,160,4,6,5650000
İzmir , Buca , İnkılap Mah.,2,1,95,26,1,2375000
İzmir , Buca , İnkılap Mah.,3,1,130,26,4,3450000
İzmir , Buca , Efeler Mah.,2,1,85,0,2,5250000
İzmir , Buca , Laleli Mah.,3,1,145,11,4,3950000
İzmir , Buca , Fırat Mah.,3,1,120,11,4,4400000
İzmir , Buca , Menderes Mah.,3,1,130,21,2,4400000
İzmir , Buca , İnkılap Mah.,3,1,145,21,2,2750000
İzmir , Menderes , Ahmetbeyli Mah.,4,1,140,31,1,5600000
İzmir , Gaziemir , Fatih Mah.,3,1,145,12,1,9200000
İzmir , Menderes , Gümüldür Fevzi Çakmak Mah.,2,1,85,17,3,2850000
İzmir , Menemen , Ulus Mah.,2,1,125,0,3,3250000
İzmir , Menemen , Villakent Mah.,6,2,500,20,0,9300000
İzmir , Karabağlar , Esenlik Mah.,2,1,85,27,4,1900000
İzmir , Menderes , Kemalpaşa Mah.,3,1,170,10,2,6000000
İzmir , Karabağlar , Kazım Karabekir Mah.,2,1,90,28,2,2650000
İzmir , Karşıyaka , Fikri Altay Mah.,3,1,115,14,3,5250000
İzmir , Bornova , Kızılay Mah.,3,1,150,25,0,2750000
