city,district,neighbourhood,room,living_room,size,age,floor,price
İzmir , Foça , İsmetpaşa Mah.,2,1,90,26,0,9800000
İzmir , Menemen , 9 Eylül Mah.,3,1,145,11,1,3900000
İzmir , Karabağlar , Bahar Mah.,3,1,125,30,2,3850000
İzmir , Bornova , Ümit Mah.,1,1,70,5,1,2380000
İzmir , Buca , Yaylacık Mah.,4,1,200,10,2,4250000
İzmir , Seferihisar , Cumhuriyet Mah.,3,1,180,0,0,6850000
İzmir , Konak , Altıntaş Mah.,3,1,115,31,5,2650000
İzmir , Çiğli , Atatürk Mah.,1,1,65,5,2,2300000
İzmir , Foça , Ilıpınar Mah.,2,1,70,31,0,3850000
İzmir , Konak , Kültür Mah.,3,1,100,31,3,4850000
İzmir , Karşıyaka , Bostanlı Mah.,3,1,140,35,2,4950000
İzmir , Menemen , 30 Ağustos Mah.,2,1,160,4,5,7000000
İzmir , Bornova , Kızılay Mah.,2,1,95,0,2,3550000
İzmir , Çiğli , Esentepe Mah.,2,1,110,0,1,3950000
İzmir , Menemen , İsmet İnönü Mah.,2,1,90,5,3,2990000
İzmir , Foça , Mustafa Kemal Atatürk Mah.,2,1,81,9,0,5250000
İzmir , Gaziemir , Beyazevler Mah.,3,1,158,4,4,7250000
İzmir , Çiğli , Esentepe Mah.,3,1,125,0,0,4550000
İzmir , Aliağa , Yenişakran Mah.,3,1,160,0,0,9500000
İzmir , Gaziemir , Gazi Mah.,3,1,200,10,1,14995000
İzmir , Foça , Kozbeyli Mah.,1,1,70,1,0,4500000
İzmir , Çiğli , İzkent Mah.,2,1,100,26,7,2350000
İzmir , Çiğli , Balatçık Mah.,1,1,50,0,1,2250000
İzmir , Seferihisar , Çolak İbrahim Bey Mah.,2,1,110,0,0,5500000
İzmir , Karşıyaka , Mavişehir Mah.,3,1,200,25,1,9300000
İzmir , Seferihisar , Cumhuriyet Mah.,3,1,150,0,0,7500000
İzmir , Güzelbahçe , Çelebi Mah.,4,1,205,29,0,15250000
İzmir , Karşıyaka , Aksoy Mah.,2,1,90,45,0,3475000
İzmir , Dikili , Cumhuriyet Mah.,4,1,120,2,0,10700000
İzmir , Bornova , Ümit Mah.,2,1,95,0,1,2900000
İzmir , Çiğli , Ataşehir Mah.,3,1,170,14,-1,16500000
İzmir , Torbalı , Torbalı Mah.,2,1,105,0,2,3500000
İzmir , Çeşme , Yalı Mah.,3,1,135,25,0,11000000
İzmir , Konak , Zafertepe Mah.,3,1,160,18,4,3895000
İzmir , Dikili , Salihler Mah.,2,1,70,25,0,5350000
İzmir , Karşıyaka , Dedebaşı Mah.,4,1,220,0,5,8750000
İzmir , Seferihisar , Tepecik Mah.,3,1,226,20,0,7250000
İzmir , Güzelbahçe , Yelki Mah.,3,1,170,0,0,17000000
İzmir , Dikili , Salihler Mah.,4,1,185,4,0,9950000
İzmir , Karşıyaka , Bahçelievler Mah.,3,1,120,16,1,2850000
İzmir , Foça , Kazım Dirik Mah.,2,1,100,7,6,3200000
İzmir , Karşıyaka , Bahariye Mah.,3,1,155,37,3,4600000
İzmir , Buca , Efeler Mah.,3,1,120,16,2,4650000
İzmir , Karabağlar , Bahçelievler Mah.,3,1,120,30,0,2750000
İzmir , Çiğli , Küçük Çiğli Mah.,1,1,110,5,1,2700000
İzmir , Gaziemir , Fatih Mah.,3,1,145,0,2,8750000
İzmir , Menemen , 30 Ağustos Mah.,3,1,185,2,6,8150000
İzmir , Karşıyaka , Tuna Mah.,3,1,175,33,1,4135000
İzmir , Seferihisar , Cumhuriyet Mah.,3,1,150,25,0,6500000
İzmir , Karşıyaka , İmbatlı Mah.,2,1,85,1,2,3690000
İzmir , Karşıyaka , Nergiz Mah.,3,1,111,0,4,8500000
İzmir , Bornova , Ümit Mah.,2,1,110,0,1,3650000
İzmir , Torbalı , Yedi Eylül Mah.,2,1,110,0,1,3500000
İzmir , Gaziemir , Beyazevler Mah.,3,1,135,25,3,4450000
İzmir , Çiğli , Ataşehir Mah.,2,1,123,6,-2,10500000
İzmir , Menderes , Çukuraltı Mah.,3,1,130,20,1,5600000
İzmir , Dikili , Cumhuriyet Mah.,3,1,110,27,0,6200000
İzmir , Seferihisar , Mersin Alanı Mah.,4,1,200,25,0,16000000
İzmir , Karşıyaka , Yalı Mah.,2,1,100,12,4,4490000
İzmir , Menderes , Çukuraltı Mah.,3,1,180,0,0,15500000
İzmir , Dikili , Salihler Mah.,4,1,180,0,0,13500000
İzmir , Çiğli , Balatçık Mah.,1,1,60,0,3,2250000
İzmir , Karabağlar , Kazım Karabekir Mah.,2,1,90,15,1,2500000
İzmir , Karabağlar , Doğanay Mah.,2,1,90,18,1,3100000
İzmir , Karabağlar , Adnan Süvari Mah.,3,1,145,0,5,7200000
İzmir , Menemen , 85. Yıl Cumhuriyet Mah.,2,1,110,0,4,3100000
İzmir , Karşıyaka , Tersane Mah.,2,1,90,25,3,2650000
İzmir , Seferihisar , Payamlı Mah.,3,1,175,3,1,6850000
İzmir , Aliağa , Fatih Mah.,2,1,96,0,3,2600000
İzmir , Narlıdere , Çamtepe Mah.,3,1,105,21,1,7500000
İzmir , Ödemiş , Cumhuriyet Mah.,3,1,170,11,5,4375000
İzmir , Çiğli , Harmandalı Gazi Mustafa Kemal Atatürk Mah.,2,1,100,4,7,3000000
İzmir , Torbalı , Yemişlik Mah.,3,1,115,0,3,2700000
İzmir , Bayraklı , Manavkuyu Mah.,3,1,130,2,3,7800000
İzmir , Çiğli , Ataşehir Mah.,3,1,110,22,1,5200000
İzmir , Buca , Aydoğdu Mah.,3,1,130,15,3,3700000
İzmir , Foça , Mustafa Kemal Atatürk Mah.,4,1,214,0,0,13500000
İzmir , Çiğli , Yeni Mahalle Mah.,2,1,140,1,3,6750000
İzmir , Menemen , İsmet İnönü Mah.,2,1,105,1,1,2850000
İzmir , Karşıyaka , Aksoy Mah.,1,1,60,30,1,3250000
İzmir , Konak , Murat Reis Mah.,2,1,100,35,-1,1980000
İzmir , Menemen , 85. Yıl Cumhuriyet Mah.,2,1,85,0,2,2900000
İzmir , Torbalı , İnönü Mah.,3,1,135,4,3,5250000
İzmir , Çiğli , Uğur Mumcu Mah.,2,1,194,4,3,12000000
İzmir , Bayraklı , Çay Mah.,2,1,90,8,2,3750000
İzmir , Seferihisar , Çolak İbrahim Bey Mah.,2,1,120,1,6,3690000
İzmir , Foça , Mustafa Kemal Atatürk Mah.,3,1,130,0,0,9145000
İzmir , Menemen , Uğur Mumcu Mah.,4,1,150,0,6,5500000
İzmir , Bayraklı , Körfez Mah.,3,1,130,0,4,5900000
İzmir , Bornova , Kazımdirik Mah.,3,1,157,30,3,6500000
İzmir , Menemen , Kemal Atatürk Mah.,3,1,143,2,6,5950000
İzmir , Karabağlar , Tahsin Yazıcı Mah.,3,1,100,32,1,2980000
İzmir , Karabağlar , Bahçelievler Mah.,2,1,120,0,6,5850000
İzmir , Konak , Altıntaş Mah.,3,1,105,45,4,3250000
İzmir , Gaziemir , Atıfbey Mah.,3,1,152,12,1,7500000
İzmir , Çiğli , Balatçık Mah.,1,1,59,0,3,3650000
İzmir , Urla , Rüstem Mah.,1,1,65,5,1,4300000
İzmir , Seferihisar , Camikebir Mah.,3,1,140,12,1,5000000
İzmir , Karşıyaka , Bahçelievler Mah.,3,1,130,26,0,3250000
